"Concept","Requested Consortia/Study","Concept Box ID"
"Extending the BOADICEA breast cancer risk prediction model to provide hormonal subtype-specific risk predictions. _2025-10-29.docx","AABCG","2030875278331"
"Extending the BOADICEA breast cancer risk prediction model to provide hormonal subtype-specific risk predictions. _2025-10-29.docx","CIMBA","2030875278331"
"Extending the BOADICEA breast cancer risk prediction model to provide hormonal subtype-specific risk predictions. _2025-10-29.docx","LAGENO","2030875278331"
"Extending the BOADICEA breast cancer risk prediction model to provide hormonal subtype-specific risk predictions. _2025-10-29.docx","BCAC","2030875278331"
"Extending the BOADICEA breast cancer risk prediction model to provide hormonal subtype-specific risk predictions. _2025-10-29.docx","C-NCI","2030875278331"
"Genetic determinants of HER2 breast cancer in diverse populations_2025-11-05.docx","LAGENO","2036833972300"
"Genetic determinants of HER2 breast cancer in diverse populations_2025-11-05.docx","BCAC","2036833972300"
"Genetic determinants of HER2 breast cancer in diverse populations_2025-11-05.docx","C-NCI","2036833972300"
"Genetic Determinants of Leukocyte Telomere Length and Their Impact on Breast Cancer Risk and Prognosis_2025-10-31.docx","AABCG","2032524361246"
"Genetic Determinants of Leukocyte Telomere Length and Their Impact on Breast Cancer Risk and Prognosis_2025-10-31.docx","CIMBA","2032524361246"
"Genetic Determinants of Leukocyte Telomere Length and Their Impact on Breast Cancer Risk and Prognosis_2025-10-31.docx","BCAC","2032524361246"
"Genetic Determinants of Leukocyte Telomere Length and Their Impact on Breast Cancer Risk and Prognosis_2025-10-31.docx","C-NCI","2032524361246"
"Genetic Determinants of Leukocyte Telomere Length and Their Impact on Breast Cancer Risk and Prognosis_2025-10-31.docx","MERGE","2032524361246"
"Germline Variation in HLA and KIR Genes and Breast Cancer Risk according to ancestry_2025-10-30.docx","AABCG","2032059714658"
"Germline Variation in HLA and KIR Genes and Breast Cancer Risk according to ancestry_2025-10-30.docx","CIMBA","2032059714658"
"Germline Variation in HLA and KIR Genes and Breast Cancer Risk according to ancestry_2025-10-30.docx","LAGENO","2032059714658"
"Germline Variation in HLA and KIR Genes and Breast Cancer Risk according to ancestry_2025-10-30.docx","BCAC","2032059714658"
"Germline Variation in HLA and KIR Genes and Breast Cancer Risk according to ancestry_2025-10-30.docx","C-NCI","2032059714658"
"Imputed structural variants and breast cancer risk_2025-10-28.docx","AABCG","2029691956631"
"Imputed structural variants and breast cancer risk_2025-10-28.docx","CIMBA","2029691956631"
"Imputed structural variants and breast cancer risk_2025-10-28.docx","LAGENO","2029691956631"
"Imputed structural variants and breast cancer risk_2025-10-28.docx","BCAC","2029691956631"
"Imputed structural variants and breast cancer risk_2025-10-28.docx","C-NCI","2029691956631"
"Imputed structural variants and breast cancer risk_2025-10-28.docx","MERGE","2029691956631"
"Incorporating multi-ancestry polygenic scores within the BOADICEA breast cancer risk prediction model and CanRisk tool_2025-10-29.docx","AABCG","2030886800941"
"Incorporating multi-ancestry polygenic scores within the BOADICEA breast cancer risk prediction model and CanRisk tool_2025-10-29.docx","CIMBA","2030886800941"
"Incorporating multi-ancestry polygenic scores within the BOADICEA breast cancer risk prediction model and CanRisk tool_2025-10-29.docx","LAGENO","2030886800941"
"Incorporating multi-ancestry polygenic scores within the BOADICEA breast cancer risk prediction model and CanRisk tool_2025-10-29.docx","BCAC","2030886800941"
"Incorporating multi-ancestry polygenic scores within the BOADICEA breast cancer risk prediction model and CanRisk tool_2025-10-29.docx","C-NCI","2030886800941"
"Integrating multi-omics data to identify breast cancer susceptibility genes _2025-08-04.docx","AABCG","1945303640552"
"Integrating multi-omics data to identify breast cancer susceptibility genes _2025-08-04.docx","CIMBA","1945303640552"
"Integrating multi-omics data to identify breast cancer susceptibility genes _2025-08-04.docx","LAGENO","1945303640552"
"Integrating multi-omics data to identify breast cancer susceptibility genes _2025-08-04.docx","BCAC","1945303640552"
"Integrating multi-omics data to identify breast cancer susceptibility genes _2025-08-04.docx","C-NCI","1945303640552"
"Integrative Genomic and Treatment Predictors of Second Primary Breast Cancer Risk_ A Precision Survivorship Approach_2025-07-31-.docx","AABCG","1942780821249"
"Integrative Genomic and Treatment Predictors of Second Primary Breast Cancer Risk_ A Precision Survivorship Approach_2025-07-31-.docx","CIMBA","1942780821249"
"Integrative Genomic and Treatment Predictors of Second Primary Breast Cancer Risk_ A Precision Survivorship Approach_2025-07-31-.docx","BCAC","1942780821249"
"Integrative Genomic and Treatment Predictors of Second Primary Breast Cancer Risk_ A Precision Survivorship Approach_2025-07-31-.docx","C-NCI","1942780821249"
"Large-scale world-wide case-control study and meta-analyses of variants in the breast cancer predisposition gene FANCM_2025-10-29.docx","AABCG","2030761830737"
"Large-scale world-wide case-control study and meta-analyses of variants in the breast cancer predisposition gene FANCM_2025-10-29.docx","CIMBA","2030761830737"
"Large-scale world-wide case-control study and meta-analyses of variants in the breast cancer predisposition gene FANCM_2025-10-29.docx","LAGENO","2030761830737"
"Large-scale world-wide case-control study and meta-analyses of variants in the breast cancer predisposition gene FANCM_2025-10-29.docx","BCAC","2030761830737"
"Large-scale world-wide case-control study and meta-analyses of variants in the breast cancer predisposition gene FANCM_2025-10-29.docx","C-NCI","2030761830737"
"Large-scale world-wide case-control study and meta-analyses of variants in the breast cancer predisposition gene FANCM_2025-10-29.docx","MERGE","2030761830737"
"Leveraging founder effects to identify breast cancer risk genes_2025-10-30.docx","AABCG","2032505996607"
"Leveraging founder effects to identify breast cancer risk genes_2025-10-30.docx","CIMBA","2032505996607"
"Leveraging founder effects to identify breast cancer risk genes_2025-10-30.docx","LAGENO","2032505996607"
"Leveraging founder effects to identify breast cancer risk genes_2025-10-30.docx","BCAC","2032505996607"
"Leveraging founder effects to identify breast cancer risk genes_2025-10-30.docx","C-NCI","2032505996607"
"Leveraging founder effects to identify breast cancer risk genes_2025-10-30.docx","MERGE","2032505996607"
"Mendelian Randomization of Obesity Related Traits in Relationship to Risk of Breast Cancer Risk and Subtypes Across Ancestries_2025-10-28.docx","AABCG","2029888456115"
"Mendelian Randomization of Obesity Related Traits in Relationship to Risk of Breast Cancer Risk and Subtypes Across Ancestries_2025-10-28.docx","LAGENO","2029888456115"
"Mendelian Randomization of Obesity Related Traits in Relationship to Risk of Breast Cancer Risk and Subtypes Across Ancestries_2025-10-28.docx","BCAC","2029888456115"
"Mendelian Randomization of Obesity Related Traits in Relationship to Risk of Breast Cancer Risk and Subtypes Across Ancestries_2025-10-28.docx","C-NCI","2029888456115"
"Multi-Ancestry Mendelian Randomization between Plasma Proteins and Overall and ER-Specific Breast Cancer Risk_2025-10-31.docx","AABCG","2033496556435"
"Multi-Ancestry Mendelian Randomization between Plasma Proteins and Overall and ER-Specific Breast Cancer Risk_2025-10-31.docx","CIMBA","2033496556435"
"Multi-Ancestry Mendelian Randomization between Plasma Proteins and Overall and ER-Specific Breast Cancer Risk_2025-10-31.docx","LAGENO","2033496556435"
"Multi-Ancestry Mendelian Randomization between Plasma Proteins and Overall and ER-Specific Breast Cancer Risk_2025-10-31.docx","BCAC","2033496556435"
"Multi-Ancestry Mendelian Randomization between Plasma Proteins and Overall and ER-Specific Breast Cancer Risk_2025-10-31.docx","C-NCI","2033496556435"
"Personalizing Prevention and Therapy-Related Myeloid Neoplasm Risk Assessment in Breast Cancer Survivors Through Integrating Ger.docx","AABCG","1942780653280"
"Personalizing Prevention and Therapy-Related Myeloid Neoplasm Risk Assessment in Breast Cancer Survivors Through Integrating Ger.docx","CIMBA","1942780653280"
"Personalizing Prevention and Therapy-Related Myeloid Neoplasm Risk Assessment in Breast Cancer Survivors Through Integrating Ger.docx","BCAC","1942780653280"
"Personalizing Prevention and Therapy-Related Myeloid Neoplasm Risk Assessment in Breast Cancer Survivors Through Integrating Ger.docx","C-NCI","1942780653280"
"Pharmacogenetic biomarkers in Breast Cancer: Exploring genetic determinants of adverse drug reactions._2025-10-30.docx","AABCG","2031999966884"
"Pharmacogenetic biomarkers in Breast Cancer: Exploring genetic determinants of adverse drug reactions._2025-10-30.docx","BCAC","2031999966884"
"Study of Italian breast cancer variants of uncertain significance or presumed to confer moderate-risk._2025-10-29.docx","CIMBA","2030634155824"
"Study of Italian breast cancer variants of uncertain significance or presumed to confer moderate-risk._2025-10-29.docx","BCAC","2030634155824"
"Study of Italian breast cancer variants of uncertain significance or presumed to confer moderate-risk._2025-10-29.docx","MERGE","2030634155824"
"Use of Functional Annotations for Fine-mapping and Polygenic Score Development for Breast Cancer and Subtypes_2025-10-21.docx","AABCG","2023067139960"
"Use of Functional Annotations for Fine-mapping and Polygenic Score Development for Breast Cancer and Subtypes_2025-10-21.docx","CIMBA","2023067139960"
"Use of Functional Annotations for Fine-mapping and Polygenic Score Development for Breast Cancer and Subtypes_2025-10-21.docx","LAGENO","2023067139960"
"Use of Functional Annotations for Fine-mapping and Polygenic Score Development for Breast Cancer and Subtypes_2025-10-21.docx","BCAC","2023067139960"
"Use of Functional Annotations for Fine-mapping and Polygenic Score Development for Breast Cancer and Subtypes_2025-10-21.docx","C-NCI","2023067139960"
"Leveraging pathway-level models of gene regulation to improve breast cancer risk prediction_2026-02-28.docx","AABCG","2149587102515"
"Leveraging pathway-level models of gene regulation to improve breast cancer risk prediction_2026-02-28.docx","CIMBA","2149587102515"
"Leveraging pathway-level models of gene regulation to improve breast cancer risk prediction_2026-02-28.docx","LAGENO","2149587102515"
"Leveraging pathway-level models of gene regulation to improve breast cancer risk prediction_2026-02-28.docx","BCAC","2149587102515"
"Leveraging pathway-level models of gene regulation to improve breast cancer risk prediction_2026-02-28.docx","C-NCI","2149587102515"
"Population Pharmacogenomics in Breast Cancer_2026-03-02.docx","AABCG","2151818739630"
"Population Pharmacogenomics in Breast Cancer_2026-03-02.docx","CIMBA","2151818739630"
"Population Pharmacogenomics in Breast Cancer_2026-03-02.docx","BCAC","2151818739630"
"Population Pharmacogenomics in Breast Cancer_2026-03-02.docx","C-NCI","2151818739630"
"Population Pharmacogenomics in Breast Cancer_2026-03-02.docx","MERGE","2151818739630"
"Re-imputation of South Asian and Southeast Asian dataset using population-specific reference panels for breast cancer risk analysis_2026-02-28.docx","BCAC","2150004494172"
"Re-imputation of South Asian and Southeast Asian dataset using population-specific reference panels for breast cancer risk analysis_2026-02-28.docx","C-NCI","2150004494172"
"Validation of a prediction model for contralateral breast cancer risk_2026-02-26.docx","AABCG","2147548184604"
"Validation of a prediction model for contralateral breast cancer risk_2026-02-26.docx","CIMBA","2147548184604"
"Validation of a prediction model for contralateral breast cancer risk_2026-02-26.docx","LAGENO","2147548184604"
"Validation of a prediction model for contralateral breast cancer risk_2026-02-26.docx","BCAC","2147548184604"
"Validation of a prediction model for contralateral breast cancer risk_2026-02-26.docx","C-NCI","2147548184604"
"Concept 4:Identify genetic loci associated with prognostic subtypes, response to tx, tx toxicities, second bc, bc prognosis and long-term survival_2026-06-26.docx","AABCG","2311014944730"
"Concept 4:Identify genetic loci associated with prognostic subtypes, response to tx, tx toxicities, second bc, bc prognosis and long-term survival_2026-06-26.docx","CIMBA","2311014944730"
"Concept 4:Identify genetic loci associated with prognostic subtypes, response to tx, tx toxicities, second bc, bc prognosis and long-term survival_2026-06-26.docx","LAGENO","2311014944730"
"Concept 4:Identify genetic loci associated with prognostic subtypes, response to tx, tx toxicities, second bc, bc prognosis and long-term survival_2026-06-26.docx","BCAC","2311014944730"
"Concept 4:Identify genetic loci associated with prognostic subtypes, response to tx, tx toxicities, second bc, bc prognosis and long-term survival_2026-06-26.docx","C-NCI","2311014944730"
"Deciphering enhancer-mediated mechanisms of breast cancer susceptibility._2026-06-23.docx","AABCG","2303618493228"
"Deciphering enhancer-mediated mechanisms of breast cancer susceptibility._2026-06-23.docx","CIMBA","2303618493228"
"Deciphering enhancer-mediated mechanisms of breast cancer susceptibility._2026-06-23.docx","LAGENO","2303618493228"
"Deciphering enhancer-mediated mechanisms of breast cancer susceptibility._2026-06-23.docx","BCAC","2303618493228"
"Deciphering enhancer-mediated mechanisms of breast cancer susceptibility._2026-06-23.docx","C-NCI","2303618493228"
"Deciphering enhancer-mediated mechanisms of breast cancer susceptibility._2026-06-23.docx","MERGE","2303618493228"
"Development and validation of polygenic risk prediction of young-onset breast cancer_2026-06-30.docx","AABCG","2319198856040"
"Development and validation of polygenic risk prediction of young-onset breast cancer_2026-06-30.docx","LAGENO","2319198856040"
"Development and validation of polygenic risk prediction of young-onset breast cancer_2026-06-30.docx","BCAC","2319198856040"
"Development and validation of polygenic risk prediction of young-onset breast cancer_2026-06-30.docx","C-NCI","2319198856040"
"GWAS of germline variants associated with distant metastasis in breast cancer: a large-scale case-only and time-to-event analysis_2026-05-18.docx","CIMBA","2234250811050"
"Integrating Genetically Predicted Plasma Proteins and Multi-Ancestry Polygenic Risk Scores to Improve Breast Cancer Risk Stratification_2026-06-30.docx","AABCG","2319558616423"
"Integrating Genetically Predicted Plasma Proteins and Multi-Ancestry Polygenic Risk Scores to Improve Breast Cancer Risk Stratification_2026-06-30.docx","CIMBA","2319558616423"
"Integrating Genetically Predicted Plasma Proteins and Multi-Ancestry Polygenic Risk Scores to Improve Breast Cancer Risk Stratification_2026-06-30.docx","LAGENO","2319558616423"
"Integrating Genetically Predicted Plasma Proteins and Multi-Ancestry Polygenic Risk Scores to Improve Breast Cancer Risk Stratification_2026-06-30.docx","BCAC","2319558616423"
"Integrating Genetically Predicted Plasma Proteins and Multi-Ancestry Polygenic Risk Scores to Improve Breast Cancer Risk Stratification_2026-06-30.docx","C-NCI","2319558616423"
"Multi-ancestry polygenic risk model development using the S4 method_2026-06-15.docx","AABCG","2287458224472"
"Multi-ancestry polygenic risk model development using the S4 method_2026-06-15.docx","CIMBA","2287458224472"
"Multi-ancestry polygenic risk model development using the S4 method_2026-06-15.docx","LAGENO","2287458224472"
"Multi-ancestry polygenic risk model development using the S4 method_2026-06-15.docx","BCAC","2287458224472"
"Multi-ancestry polygenic risk model development using the S4 method_2026-06-15.docx","C-NCI","2287458224472"
"Multi-ancestry polygenic risk model development using the S4 method_2026-06-15.docx","MERGE","2287458224472"
"Pregnancy as a Biological Trigger of Germline Breast Cancer Susceptibility: A Genomic Analysis Across Reproductive Windows_2026-04-13.docx","AABCG","2196333736345"
"Pregnancy as a Biological Trigger of Germline Breast Cancer Susceptibility: A Genomic Analysis Across Reproductive Windows_2026-04-13.docx","CIMBA","2196333736345"
"Pregnancy as a Biological Trigger of Germline Breast Cancer Susceptibility: A Genomic Analysis Across Reproductive Windows_2026-04-13.docx","LAGENO","2196333736345"
"Pregnancy as a Biological Trigger of Germline Breast Cancer Susceptibility: A Genomic Analysis Across Reproductive Windows_2026-04-13.docx","BCAC","2196333736345"
"Pregnancy as a Biological Trigger of Germline Breast Cancer Susceptibility: A Genomic Analysis Across Reproductive Windows_2026-04-13.docx","C-NCI","2196333736345"
"Germline Variation in HLA and KIR Genes and Breast Cancer Risk according to ancestry_2025-10-30.docx","AABCG","2166646448774"
"Germline Variation in HLA and KIR Genes and Breast Cancer Risk according to ancestry_2025-10-30.docx","CIMBA","2166646448774"
"Germline Variation in HLA and KIR Genes and Breast Cancer Risk according to ancestry_2025-10-30.docx","LAGENO","2166646448774"
"Germline Variation in HLA and KIR Genes and Breast Cancer Risk according to ancestry_2025-10-30.docx","BCAC","2166646448774"
"Germline Variation in HLA and KIR Genes and Breast Cancer Risk according to ancestry_2025-10-30.docx","C-NCI","2166646448774"
"Germline Variation in HLA and KIR Genes and Breast Cancer Risk according to ancestry_2025-10-30.docx","MERGE","2166646448774"
"An investigation of the effects of common variants in high or moderate penetrance genes of breast cancer_2025-09-25.docx","AABCG","2166614584584"
"An investigation of the effects of common variants in high or moderate penetrance genes of breast cancer_2025-09-25.docx","CIMBA","2166614584584"
"An investigation of the effects of common variants in high or moderate penetrance genes of breast cancer_2025-09-25.docx","LAGENO","2166614584584"
"An investigation of the effects of common variants in high or moderate penetrance genes of breast cancer_2025-09-25.docx","BCAC","2166614584584"
"An investigation of the effects of common variants in high or moderate penetrance genes of breast cancer_2025-09-25.docx","C-NCI","2166614584584"
"Development and validation of polygenic risk prediction of breast cancer for African-ancestry_2025-10-09.docx","AABCG","2166618594663"
"Development and validation of polygenic risk prediction of breast cancer for African-ancestry_2025-10-09.docx","CIMBA","2166618594663"
"Development and validation of polygenic risk prediction of breast cancer for African-ancestry_2025-10-09.docx","LAGENO","2166618594663"
"Development and validation of polygenic risk prediction of breast cancer for African-ancestry_2025-10-09.docx","BCAC","2166618594663"
"Development and validation of polygenic risk prediction of breast cancer for African-ancestry_2025-10-09.docx","C-NCI","2166618594663"
"Use of Functional Annotations for Fine-mapping and Polygenic Score Development for Breast Cancer and Subtypes_2025-10-21.docx","AABCG","2160068236548"
"Use of Functional Annotations for Fine-mapping and Polygenic Score Development for Breast Cancer and Subtypes_2025-10-21.docx","CIMBA","2160068236548"
"Use of Functional Annotations for Fine-mapping and Polygenic Score Development for Breast Cancer and Subtypes_2025-10-21.docx","LAGENO","2160068236548"
"Use of Functional Annotations for Fine-mapping and Polygenic Score Development for Breast Cancer and Subtypes_2025-10-21.docx","BCAC","2160068236548"
"Use of Functional Annotations for Fine-mapping and Polygenic Score Development for Breast Cancer and Subtypes_2025-10-21.docx","C-NCI","2160068236548"
"Leveraging founder effects to identify breast cancer risk genes_2025-10-30.docx","AABCG","2166663719758"
"Leveraging founder effects to identify breast cancer risk genes_2025-10-30.docx","CIMBA","2166663719758"
"Leveraging founder effects to identify breast cancer risk genes_2025-10-30.docx","LAGENO","2166663719758"
"Leveraging founder effects to identify breast cancer risk genes_2025-10-30.docx","BCAC","2166663719758"
"Leveraging founder effects to identify breast cancer risk genes_2025-10-30.docx","C-NCI","2166663719758"
"Leveraging founder effects to identify breast cancer risk genes_2025-10-30.docx","MERGE","2166663719758"
"Integrating multi-omics data to identify breast cancer susceptibility genes _2025-08-04.docx","AABCG","2166654682834"
"Integrating multi-omics data to identify breast cancer susceptibility genes _2025-08-04.docx","CIMBA","2166654682834"
"Integrating multi-omics data to identify breast cancer susceptibility genes _2025-08-04.docx","LAGENO","2166654682834"
"Integrating multi-omics data to identify breast cancer susceptibility genes _2025-08-04.docx","BCAC","2166654682834"
"Integrating multi-omics data to identify breast cancer susceptibility genes _2025-08-04.docx","C-NCI","2166654682834"
"Assessing multilocus genetic similarity and admixture in breast cancer and breast cancer subtype risk across diverse populations_2025-10-31.docx","AABCG","2166613981345"
"Assessing multilocus genetic similarity and admixture in breast cancer and breast cancer subtype risk across diverse populations_2025-10-31.docx","CIMBA","2166613981345"
"Assessing multilocus genetic similarity and admixture in breast cancer and breast cancer subtype risk across diverse populations_2025-10-31.docx","LAGENO","2166613981345"
"Assessing multilocus genetic similarity and admixture in breast cancer and breast cancer subtype risk across diverse populations_2025-10-31.docx","BCAC","2166613981345"
"Assessing multilocus genetic similarity and admixture in breast cancer and breast cancer subtype risk across diverse populations_2025-10-31.docx","C-NCI","2166613981345"
"Assessing multilocus genetic similarity and admixture in breast cancer and breast cancer subtype risk across diverse populations_2025-10-31.docx","MERGE","2166613981345"
"Exploring Genetic Heterogeneity of Breast Cancer Architecture Across African and African-Diaspora Populations of Breast Cancer_2025-11-03.docx","AABCG","2166631582937"
"Exploring Genetic Heterogeneity of Breast Cancer Architecture Across African and African-Diaspora Populations of Breast Cancer_2025-11-03.docx","LAGENO","2166631582937"
"Exploring Genetic Heterogeneity of Breast Cancer Architecture Across African and African-Diaspora Populations of Breast Cancer_2025-11-03.docx","BCAC","2166631582937"
"Exploring Genetic Heterogeneity of Breast Cancer Architecture Across African and African-Diaspora Populations of Breast Cancer_2025-11-03.docx","C-NCI","2166631582937"
"Copy number variations (CNVs) detected from array data and breast cancer risk_2025-10-28.docx","AABCG","2166615292055"
"Copy number variations (CNVs) detected from array data and breast cancer risk_2025-10-28.docx","CIMBA","2166615292055"
"Copy number variations (CNVs) detected from array data and breast cancer risk_2025-10-28.docx","LAGENO","2166615292055"
"Copy number variations (CNVs) detected from array data and breast cancer risk_2025-10-28.docx","BCAC","2166615292055"
"Copy number variations (CNVs) detected from array data and breast cancer risk_2025-10-28.docx","C-NCI","2166615292055"
"Copy number variations (CNVs) detected from array data and breast cancer risk_2025-10-28.docx","MERGE","2166615292055"
"Imputed structural variants and breast cancer risk_2025-10-28.docx","AABCG","2166649233224"
"Imputed structural variants and breast cancer risk_2025-10-28.docx","CIMBA","2166649233224"
"Imputed structural variants and breast cancer risk_2025-10-28.docx","LAGENO","2166649233224"
"Imputed structural variants and breast cancer risk_2025-10-28.docx","BCAC","2166649233224"
"Imputed structural variants and breast cancer risk_2025-10-28.docx","C-NCI","2166649233224"
"Imputed structural variants and breast cancer risk_2025-10-28.docx","MERGE","2166649233224"
"A Multi-Scale Integrative Framework to Prioritize Causal SNPs, Cell Types, and Tissues for Breast Cancer Risk in the Confluence Project_2025-10-31.docx","AABCG","2155175468444"
"A Multi-Scale Integrative Framework to Prioritize Causal SNPs, Cell Types, and Tissues for Breast Cancer Risk in the Confluence Project_2025-10-31.docx","CIMBA","2155175468444"
"A Multi-Scale Integrative Framework to Prioritize Causal SNPs, Cell Types, and Tissues for Breast Cancer Risk in the Confluence Project_2025-10-31.docx","LAGENO","2155175468444"
"A Multi-Scale Integrative Framework to Prioritize Causal SNPs, Cell Types, and Tissues for Breast Cancer Risk in the Confluence Project_2025-10-31.docx","BCAC","2155175468444"
"A Multi-Scale Integrative Framework to Prioritize Causal SNPs, Cell Types, and Tissues for Breast Cancer Risk in the Confluence Project_2025-10-31.docx","C-NCI","2155175468444"
